Matrix Size,Threads Count,Calculation Type,Average Result,Variance
1024,1,simple,28.7009,0.0
1024,2,simple,14.6962,0.0
1024,3,simple,9.95367,0.0
1024,4,simple,7.41498,0.0
1024,5,simple,6.03234,0.0
1024,6,simple,5.09624,0.0
1024,7,simple,6.57474,0.0
1024,8,simple,6.48505,0.0
1024,9,simple,5.93948,0.0
1024,10,simple,5.59643,0.0
1024,11,simple,5.43939,0.0
1024,12,simple,5.29417,0.0
1024,13,simple,5.58886,0.0
1024,14,simple,5.43384,0.0
1024,15,simple,5.48279,0.0
1024,16,simple,5.49362,0.0
1024,17,simple,5.41765,0.0
1024,18,simple,5.43974,0.0
1024,19,simple,5.44164,0.0
2048,1,simple,372.939,0.0
2048,2,simple,188.664,0.0
2048,3,simple,126.096,0.0
2048,4,simple,95.1169,0.0
2048,5,simple,76.2568,0.0
2048,6,simple,63.985,0.0
2048,7,simple,73.1973,0.0
2048,8,simple,73.7372,0.0
2048,9,simple,56.0732,0.0
2048,10,simple,54.6915,0.0
2048,11,simple,50.9531,0.0
2048,12,simple,49.0216,0.0
2048,13,simple,51.8979,0.0
2048,14,simple,52.5194,0.0
2048,15,simple,53.7819,0.0
2048,16,simple,53.4762,0.0
2048,17,simple,53.5541,0.0
2048,18,simple,55.4983,0.0
2048,19,simple,53.2141,0.0
4096,1,simple,3090.3,0.0
4096,2,simple,1573.88,0.0
4096,3,simple,1053.11,0.0
4096,4,simple,796.029,0.0
4096,5,simple,639.446,0.0
4096,6,simple,538.749,0.0
4096,7,simple,624.481,0.0
4096,8,simple,540.262,0.0
4096,9,simple,487.943,0.0
4096,10,simple,473.497,0.0
4096,11,simple,437.706,0.0
4096,12,simple,422.767,0.0
4096,13,simple,461.957,0.0
4096,14,simple,465.128,0.0
4096,15,simple,469.997,0.0
4096,16,simple,473.882,0.0
4096,17,simple,478.289,0.0
4096,18,simple,478.616,0.0
4096,19,simple,477.416,0.0
