Matrix Size,Threads Count,Calculation Type,Average Result,Variance
128,1,simple,0.04641575999999999,5.3738810399999757e-08
128,2,simple,0.024044219999999998,1.0695125759999991e-07
128,3,simple,0.01662874,3.158183999999929e-10
128,4,simple,0.012659960000000001,6.403602399999992e-09
128,5,simple,0.010818020000000001,5.275764015999998e-07
128,6,simple,0.009357532,3.4532754785600025e-07
128,7,simple,0.013429940000000001,4.2146578240000017e-07
128,8,simple,0.012285179999999998,2.2590416000000114e-09
128,9,simple,0.0113911,7.138399999999409e-11
128,10,simple,0.010192080000000001,5.988815999999956e-10
128,11,simple,0.009371106,6.563402023999941e-09
128,12,simple,0.008796994,6.358975440000039e-10
128,13,simple,0.01232854,1.5395257039999975e-07
128,14,simple,0.01264922,5.699465576e-07
128,15,simple,0.01298512,2.601263536000002e-07
128,16,simple,0.01281562,2.1837845359999984e-07
128,17,simple,0.0122629,1.0243463199999994e-07
128,18,simple,0.0121612,6.268262800000002e-08
128,19,simple,0.012044880000000003,3.4092184160000004e-07
128,20,simple,0.01191616,4.0615540239999996e-07
128,21,simple,0.01219402,4.631973496000001e-07
128,22,simple,0.01162636,2.2169398240000026e-07
128,23,simple,0.01204002,2.877224296000003e-07
128,24,simple,0.011907459999999998,3.5594143439999967e-07
128,25,simple,0.012340559999999999,1.0725593040000004e-07
192,1,simple,0.161087,6.615692400000023e-06
192,2,simple,0.08297795999999999,6.768406640000224e-08
192,3,simple,0.056685799999999995,2.5462267999999573e-08
192,4,simple,0.043093780000000005,3.620133360000025e-08
192,5,simple,0.03621806,2.2539505943999983e-06
192,6,simple,0.0314276,8.296680020000001e-06
192,7,simple,0.04328768,1.1737037600000015e-08
192,8,simple,0.04139056,7.011354343999979e-07
192,9,simple,0.03757098,1.85003096000003e-08
192,10,simple,0.035303839999999996,4.137458094400003e-06
192,11,simple,0.031897720000000004,1.208833517599999e-06
192,12,simple,0.03025682,2.812778149600003e-06
192,13,simple,0.03794182,2.239759335999998e-07
192,14,simple,0.04051176,1.0844862426400002e-05
192,15,simple,0.037557059999999996,3.7229059264000004e-06
192,16,simple,0.038902160000000005,3.256713310400002e-06
192,17,simple,0.03784012,1.9548365135999993e-06
192,18,simple,0.03696506,7.380269703999994e-07
192,19,simple,0.03590156,2.1809298399999844e-08
192,20,simple,0.034894579999999994,1.0220245360000006e-07
192,21,simple,0.0333821,4.2338427999999334e-08
192,22,simple,0.03434128,3.6004005096000008e-06
192,23,simple,0.0330803,1.5314801279999985e-06
192,24,simple,0.032801559999999993,7.264431864000028e-07
192,25,simple,0.03459484,1.2125977943999964e-06
256,1,simple,0.38728480000000004,1.6681368560000114e-05
256,2,simple,0.2012278,7.613345599999941e-07
256,3,simple,0.13656739999999998,1.6163384000000165e-07
256,4,simple,0.10372200000000001,8.046179999999985e-07
256,5,simple,0.08492574,9.999365023999954e-07
256,6,simple,0.07175625999999999,3.402962743999992e-07
256,7,simple,0.1029976,2.2702354400000048e-06
256,8,simple,0.09734254,5.079210544000012e-07
256,9,simple,0.08850932,3.3782790160000316e-07
256,10,simple,0.07943222,7.205791456000019e-07
256,11,simple,0.07321256000000001,5.388660639999963e-08
256,12,simple,0.06815352,8.30145361600001e-07
256,13,simple,0.0857801,6.266402676000007e-06
256,14,simple,0.0864246,9.441455596000017e-06
256,15,simple,0.0887328,1.2361802468000013e-05
256,16,simple,0.08305515999999999,1.1338505898400004e-05
256,17,simple,0.08526576,4.6866142024000196e-06
256,18,simple,0.08263773999999999,5.456219754400013e-06
256,19,simple,0.08244208,5.342726285600012e-06
256,20,simple,0.07869158000000001,6.117644296000001e-07
256,21,simple,0.07653216,3.9340179440000015e-07
256,22,simple,0.07571955999999999,1.145490311440002e-05
256,23,simple,0.0749483,1.0079811240000013e-06
256,24,simple,0.07556092,1.2202274856000003e-06
256,25,simple,0.07936718000000001,2.2498989455999968e-06
320,1,simple,0.7727468,3.4595876159999814e-05
320,2,simple,0.3987116,8.76990639999997e-07
320,3,simple,0.2774578,0.00014505726375999987
320,4,simple,0.20549720000000002,1.4467269599999924e-06
320,5,simple,0.165497,9.324932000000131e-07
320,6,simple,0.1557806,0.0005483382886399999
320,7,simple,0.2011386,5.6115562400000214e-06
320,8,simple,0.1905408,1.2296080160000008e-05
320,9,simple,0.1710972,1.4755705599999933e-06
320,10,simple,0.1568604,3.475363303999992e-05
320,11,simple,0.1399882,5.983921599999979e-07
320,12,simple,0.1332676,1.6249783839999994e-05
320,13,simple,0.1565872,2.5938251760000083e-05
320,14,simple,0.1636358,4.99788517600001e-05
320,15,simple,0.15540659999999998,4.046572983999993e-05
320,16,simple,0.15339239999999998,5.063101040000011e-06
320,17,simple,0.15015440000000002,2.437460544000001e-05
320,18,simple,0.14113979999999998,9.940207760000006e-06
320,19,simple,0.14746920000000002,5.111524160000032e-06
320,20,simple,0.14663279999999998,8.435265759999995e-06
320,21,simple,0.1459546,3.474948239999998e-06
320,22,simple,0.1426414,5.0972954400000016e-06
320,23,simple,0.1437776,3.048705039999987e-06
320,24,simple,0.1440768,1.9287965600000062e-06
320,25,simple,0.1454488,7.2067905600000125e-06
384,1,simple,1.385694,2.2505543999999997e-05
384,2,simple,0.7120884000000001,1.6328042399999962e-06
384,3,simple,0.48341340000000005,6.039870400000114e-07
384,4,simple,0.3778264,0.0005295723210400006
384,5,simple,0.29619819999999997,2.675069599999974e-07
384,6,simple,0.2537702,1.0045652560000005e-05
384,7,simple,0.3460064,2.6117533439999944e-05
384,8,simple,0.3309456,1.7403184000000422e-07
384,9,simple,0.29805,2.7248092000000204e-06
384,10,simple,0.2720628,1.6157537600000068e-06
384,11,simple,0.2506822,7.096534576000019e-05
384,12,simple,0.2296584,2.1297892240000067e-05
384,13,simple,0.27470300000000003,0.00010393720480000007
384,14,simple,0.27144219999999997,4.8144263359999964e-05
384,15,simple,0.2680748,1.2906688959999936e-05
384,16,simple,0.2597948,4.96717109600001e-05
384,17,simple,0.2503474,3.049721464000009e-05
384,18,simple,0.24083939999999998,8.802073040000017e-06
384,19,simple,0.2443906,4.779817840000009e-06
384,20,simple,0.24530839999999995,6.156683223999996e-05
384,21,simple,0.2464658,3.0192582159999896e-05
384,22,simple,0.246144,2.3069476400000045e-05
384,23,simple,0.24237820000000002,5.575174560000004e-06
384,24,simple,0.240876,1.8129808400000022e-05
384,25,simple,0.24841860000000002,1.2264850240000028e-05
448,1,simple,2.2227439999999996,1.479386400000052e-05
448,2,simple,1.14242,1.0364800000000189e-06
448,3,simple,0.7893212000000001,0.0005205391185600003
448,4,simple,0.6107426,0.00104611939224
448,5,simple,0.4742704000000001,1.6883510399999897e-06
448,6,simple,0.4073652,0.00012489829415999998
448,7,simple,0.56135,0.00012436978319999953
448,8,simple,0.5232634,7.30076014399998e-05
448,9,simple,0.4732576,8.192370399999997e-07
448,10,simple,0.43351939999999994,0.0001204225406399998
448,11,simple,0.3915856,6.793586400000089e-07
448,12,simple,0.3679872,4.635240559999988e-06
448,13,simple,0.4291142,0.00011077194296000008
448,14,simple,0.441174,2.46359643999999e-05
448,15,simple,0.42656360000000004,6.597107703999997e-05
448,16,simple,0.4126504000000001,4.9728111039999985e-05
448,17,simple,0.3903098,3.2682644560000015e-05
448,18,simple,0.38049999999999995,3.717636999999993e-05
448,19,simple,0.38410859999999997,6.848274639999926e-06
448,20,simple,0.38492719999999997,4.363654496000009e-05
448,21,simple,0.3900194,4.4256874240000215e-05
448,22,simple,0.38920720000000003,3.598743375999996e-05
448,23,simple,0.3893798,8.124525656000006e-05
448,24,simple,0.3807646,1.3183938640000094e-05
448,25,simple,0.38862300000000005,4.9899184799999974e-05
512,1,simple,3.3517939999999995,6.027526400000112e-05
512,2,simple,1.7233800000000001,5.879159999999997e-06
512,3,simple,1.172522,3.3228296e-05
512,4,simple,0.8807668,1.7529429599999595e-06
512,5,simple,0.7195400000000001,0.00015048487800000047
512,6,simple,0.6121331999999999,1.5335000559999887e-05
512,7,simple,0.8332676000000001,0.0001148139830400001
512,8,simple,0.7829615999999999,0.00014674847264000034
512,9,simple,0.7121798000000001,2.6971037600000733e-06
512,10,simple,0.6464578000000001,5.24787056000014e-06
512,11,simple,0.5984621999999999,9.049264895999971e-05
512,12,simple,0.551193,6.527561199999919e-06
512,13,simple,0.6507008,0.0003953722565600001
512,14,simple,0.6546684,0.00023260949624000107
512,15,simple,0.6388068,0.0002875421685599996
512,16,simple,0.6242912,0.00016443122935999978
512,17,simple,0.5867694,4.8468236239999904e-05
512,18,simple,0.5650459999999999,3.355715639999968e-05
512,19,simple,0.5835432,3.30321081600001e-05
512,20,simple,0.5787562,3.0292826160000143e-05
512,21,simple,0.5770562,7.600936775999995e-05
512,22,simple,0.5888092,0.0002973665789600003
