Matrix Size,Threads Count,Calculation Type,Average Result,Variance
704,10,simple,1.97616,0.0
704,11,simple,1.82301,0.0
704,12,simple,1.7111,0.0
704,13,simple,1.9142,0.0
704,14,simple,1.9914,0.0
704,15,simple,1.94814,0.0
704,16,simple,1.95466,0.0
704,17,simple,1.95837,0.0
704,18,simple,1.98067,0.0
768,1,simple,11.1815,0.0
768,2,simple,5.83841,0.0
768,3,simple,4.14184,0.0
768,4,simple,3.21607,0.0
768,5,simple,2.64975,0.0
768,6,simple,2.30292,0.0
768,7,simple,2.86643,0.0
768,8,simple,2.71941,0.0
768,9,simple,2.49329,0.0
768,10,simple,2.60111,0.0
768,11,simple,2.40141,0.0
768,12,simple,2.26505,0.0
768,13,simple,2.57451,0.0
768,14,simple,2.59553,0.0
768,15,simple,2.57983,0.0
768,16,simple,2.59321,0.0
768,17,simple,2.58049,0.0
768,18,simple,2.53882,0.0
832,1,simple,14.4431,0.0
832,2,simple,7.62154,0.0
832,3,simple,5.34091,0.0
832,4,simple,4.15072,0.0
832,5,simple,3.42591,0.0
832,6,simple,2.95792,0.0
832,7,simple,3.62944,0.0
832,8,simple,3.45181,0.0
832,9,simple,3.07218,0.0
832,10,simple,3.35827,0.0
832,11,simple,3.15308,0.0
832,12,simple,2.9727,0.0
832,13,simple,3.28092,0.0
832,14,simple,3.41787,0.0
832,15,simple,3.31493,0.0
832,16,simple,3.23404,0.0
832,17,simple,3.34693,0.0
832,18,simple,3.20057,0.0
896,1,simple,18.2279,0.0
896,2,simple,9.64446,0.0
896,3,simple,6.92958,0.0
896,4,simple,5.28801,0.0
896,5,simple,4.8322,0.0
896,6,simple,3.7416,0.0
896,7,simple,4.64982,0.0
896,8,simple,4.44972,0.0
896,9,simple,4.03299,0.0
896,10,simple,4.2,0.0
896,11,simple,4.01583,0.0
896,12,simple,3.73489,0.0
896,13,simple,4.10434,0.0
896,14,simple,4.13022,0.0
896,15,simple,4.05611,0.0
896,16,simple,4.12877,0.0
896,17,simple,4.14582,0.0
896,18,simple,4.08975,0.0
960,1,simple,22.4059,0.0
960,2,simple,12.2777,0.0
960,3,simple,8.69639,0.0
960,4,simple,6.6987,0.0
960,5,simple,5.41508,0.0
960,6,simple,4.62295,0.0
960,7,simple,5.81681,0.0
960,8,simple,5.64839,0.0
960,9,simple,5.21999,0.0
960,10,simple,5.34929,0.0
960,11,simple,5.02817,0.0
960,12,simple,4.69486,0.0
960,13,simple,4.99094,0.0
960,14,simple,5.08256,0.0
960,15,simple,5.11801,0.0
960,16,simple,5.09633,0.0
960,17,simple,5.08125,0.0
960,18,simple,5.10724,0.0
1024,1,simple,27.389,0.0
1024,2,simple,15.6151,0.0
1024,3,simple,10.8679,0.0
1024,4,simple,8.25553,0.0
